"spkid","full_name","name","diameter","e","a","q","i","om","w","ma","albedo","n","epoch"
3742877,"       (2016 CE137)",,,0.3681,1.721,1.088,28.55,330.04,116.26,329.20,,0.4364,2460600.5
3742876,"       (2016 CF137)",,,0.0997,1.09,0.981,2.44,132.47,301.52,284.12,,0.8662,2460600.5
3742874,"       (2016 CG137)",,,0.2593,1.216,0.901,21.52,324.87,248.16,124.00,,0.7349,2460600.5
3742878,"       (2016 CH137)",,,0.8117,2.361,0.444,8.10,316.19,79.53,152.29,,0.2717,2460600.5
3742879,"       (2016 CJ137)",,,0.4974,2.025,1.018,8.52,143.37,321.09,10.74,,0.3419,2457427.5
3742881,"       (2016 CK137)",,,0.3465,1.174,0.767,0.79,314.62,95.44,350.28,,0.7752,2460600.5
3742882,"       (2016 CL137)",,,0.7106,1.917,0.555,0.76,151.93,251.23,19.90,,0.3714,2457431.5
3742883,"       (2016 CM137)",,,0.5532,2.066,0.923,3.20,307.56,145.72,343.66,,0.3318,2460600.5
3743124,"       (2016 CV137)",,,0.4729,1.869,0.985,6.16,127.83,31.46,353.82,,0.3857,2457427.5
3743119,"       (2016 CW137)",,,0.6539,2.407,0.833,37.68,133.01,316.29,140.26,,0.264,2460600.5
3743120,"       (2016 CX137)",,,0.7418,2.239,0.578,16.81,100.76,167.70,180.74,,0.2942,2460600.5
3743122,"       (2016 CY137)",,,0.1678,1.232,1.026,29.10,139.45,339.73,140.27,,0.7205,2460600.5
3743121,"       (2016 CZ137)",,,0.4889,1.344,0.687,11.42,324.39,86.83,243.60,,0.6328,2460600.5
3743123,"       (2016 CA138)",,,0.0492,0.9985,0.949,27.73,328.89,326.78,97.58,,0.9879,2460600.5
3743125,"       (2016 CB138)",,,0.4656,1.913,1.023,2.96,139.82,12.32,96.23,,0.3724,2460600.5
3743126,"       (2016 CY192)",,,0.3154,1.534,1.050,2.24,310.19,179.37,213.85,,0.5186,2460600.5
3743127,"       (2016 CZ192)",,,0.2630,0.8767,0.646,16.74,144.42,206.09,339.26,,1.201,2460600.5
3743128,"       (2016 CA193)",,,0.0374,1.128,1.085,7.80,324.11,220.25,50.05,,0.8232,2460600.5
3743129,"       (2016 CC193)",,,0.5509,2.39,1.073,25.08,144.29,46.37,110.11,,0.2668,2460600.5
3743605,"       (2016 CU193)",,,0.3561,1.472,0.948,49.89,322.37,323.12,201.18,,0.5516,2460600.5
3743607,"       (2016 CV193)",,,0.2779,1.376,0.994,9.39,133.25,87.23,83.56,,0.6104,2460600.5
3743606,"       (2016 CW193)",,,0.6713,2.478,0.815,6.51,184.94,235.28,95.65,,0.2527,2460600.5
3743603,"       (2016 CY193)",,,0.4555,1.948,1.060,4.16,167.62,341.46,68.24,,0.3626,2460600.5
3743602,"       (2016 CZ193)",,,0.4956,1.604,0.809,4.40,323.88,257.04,65.73,,0.485,2460600.5
3743604,"       (2016 CA194)",,,0.4181,1.743,1.014,5.06,145.47,349.10,2.40,,0.4284,2457429.5
3743608,"       (2016 CC194)",,,0.2637,1.547,1.139,8.87,120.11,8.04,192.27,,0.5122,2460600.5
3743611,"       (2016 CD194)",,,0.3915,1.744,1.061,24.06,321.75,208.81,266.55,,0.4281,2460600.5
3743609,"       (2016 CE194)",,,0.5162,1.951,0.944,1.85,138.47,324.72,77.25,,0.3617,2460600.5
3743610,"       (2016 CF194)",,,0.2041,1.29,1.026,1.64,114.95,101.36,280.24,,0.6729,2460600.5
3743612,"       (2016 CG194)",,,0.3542,1.719,1.110,3.41,23.29,84.59,15.70,,0.4373,2457430.5
3743615,"       (2016 CM194)",,,0.4564,1.575,0.856,7.29,323.50,235.08,118.48,,0.4985,2460600.5
3743616,"       (2016 CN194)",,,0.3684,1.555,0.982,10.75,140.89,23.53,161.35,,0.5083,2460600.5
3743739,"       (2016 CJ195)",,,0.3435,1.603,1.052,25.52,352.38,356.69,236.80,,0.4857,2460600.5
3743740,"       (2016 CK195)",,,0.3039,1.333,0.928,5.23,63.99,355.74,282.39,,0.6403,2460600.5
3743746,"       (2016 CL195)",,,0.6262,1.89,0.706,0.94,333.47,79.42,143.07,,0.3794,2460600.5
3743744,"       (2016 CM195)",,,0.2382,1.204,0.917,19.54,324.60,287.68,123.92,,0.7457,2460600.5
3743743,"       (2016 CN195)",,,0.4126,1.875,1.101,1.75,19.14,120.82,138.71,,0.3839,2460600.5
3743741,"       (2016 CO195)",,,0.2301,1.382,1.064,5.51,338.33,179.42,115.06,,0.6069,2460600.5
3743745,"       (2016 CP195)",,,0.1963,1.174,0.943,24.57,324.01,236.59,319.64,,0.775,2457431.5
3743742,"       (2016 CQ195)",,0.606,0.7062,2.165,0.636,28.41,333.40,324.85,205.39,0.252,0.3094,2460600.5
